from_account,to_account,amount,is_fraud
8b92a625-604e-449e-ae8e-72f46d6081a8,5e0d2ad9-3049-465b-89d6-54547eacb9f2,380.1605414514731,0
f4f713d2-0424-41c0-a612-facbb08d0e8e,62ea60db-6c17-4596-b19f-4c5595b2c543,463.17918431285597,0
bdf48f6d-4037-4ae9-bc53-a4a75406928a,d6f1892e-f17c-4c3b-adff-0a93ef6e3cfa,24.69093272205709,0
2fd9d872-72aa-4745-b0c5-78ae60621428,4a73bbe4-99bb-40d6-b5bc-bc925ffac242,336.5330685849789,0
4020998b-03c1-4445-b0e6-45936655a3b9,4e6ec32d-6b77-4e1d-96e1-8f1ae68cc57d,298.82981932649597,0
d391f353-b6c1-4aeb-8182-5ae0d43a4a70,aa899db4-f091-473f-9fa7-2247a3e22e0c,247.75166411989494,0
a53f86ae-41f9-4a9b-8c60-4e636f9ebfa7,34f35d06-03e8-42ca-aff6-69840fc30d73,294.14795750044846,0
6584ffd7-a33d-45f7-a40b-c59ca98ccc35,3ee6348b-d892-4948-adef-0a7803f1f815,308.52277459231766,0
154a08f2-4f6c-4d87-b8f1-5a93407ab03b,8e979275-30e6-43a7-9302-52482b9864ff,334.20657408923535,0
299a3a9a-bd87-413c-a0be-275709b11749,639fb147-fd10-4504-9a83-45d73ddbad00,44.98990230590646,0
36f64926-6774-4e19-ab3b-88527fe6c192,5290ce97-c5c5-42b1-a636-0ba3f90741e3,26.093907830847552,0
9ff9d39d-f8ff-4aec-89e8-f1c007fd6eaa,298c4e2a-c552-44d9-9a9a-387f895809fa,254.2106037325297,0
278ed29e-baa0-4ec8-8c43-cb1626aca758,bff044bd-6c2d-45f2-87d1-2c4174b04435,114.50060099194347,0
cda9ddfe-4da2-4c19-a35c-08a5b0ae6094,daf640c1-891f-4a94-a0e1-c610336dec46,236.3541710711146,0
9b4c624c-17fb-4f9a-8717-dbab268c9a83,eec3147e-2039-49d5-9cfc-c5894bd25368,64.83374533286323,0
b1b7b271-f15a-4cbc-8486-8f7f94fbe35f,c898ca5b-5ee5-4192-9eea-1b69765b3485,250.08778280783633,0
9334959e-edaf-4265-aae4-77ecb1743f61,3f5d85bf-8974-4c35-837d-a0b1e961f5ab,10.359002538214032,0
86062ec1-496b-442e-b978-d1c1bce7b1ec,ff93e80d-121a-492c-9c3b-fff2995f0434,85.08041677318116,0
d02f34b6-e4fb-4c36-99e8-d6c764c2f8b8,9ac85295-02fc-4099-aae2-e9269ae224e8,472.0716780890786,0
238f1c1f-db09-42cd-813d-df9ffafcf36c,5101b91b-f1ab-46a3-a4a8-772747a6f718,84.81967888818066,0
11c5f091-ad77-4689-8e85-4f7aefe780be,3fda6723-827b-4097-9ea2-4df182aa4987,152.31237933505062,0
53444926-5d05-4bb5-8a61-f5590e9e54fd,92d6840b-af16-4e7a-b2c9-59fa697ccbee,150.23496940706318,0
6bc83470-e686-49c1-af86-e0554b722fdf,54f0e45e-a76f-42a1-8f0d-7f0ed28a7859,174.59421345742726,0
945ba824-8299-4f85-90aa-78fcf82784e6,665a0705-06bd-457c-83ee-803ae703e94c,174.53211020343434,0
