node,in_degree,out_degree,total_sent,total_received,avg_sent,avg_received,degree_ratio,transaction_count,max_sent,min_sent,std_sent,pagerank,betweenness,closeness,eigenvector,clustering_coeff,triangle_count,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
3a06bb75-2f2e-4ee9-9068-259340515899,5,9,2363.6001878555244,1878.4312361532623,262.62224309505825,375.68624723065244,1.8,14,389.9736919866341,13.239471049510632,141.001557572105,0.0005630354388966952,0.004140279014384749,0.2245381921698311,0.003940740298497025,0.01098901098901099,1,0.5765088,-0.11173184,-0.37634772,0.34448725,0.26678222,-0.12630947,0.25659505,0.30522996,-0.2876241,-0.0253647,0.4484941,-0.18401419,-0.70654345,-0.17716606,0.42670298,-0.11328675,0.4041485,-0.4719193,-0.27091503,0.36449614,0.107160605,0.3265315,-0.63437337,-0.6670533,0.52094513,0.45335647,-0.78620607,-0.12608589,-0.21319836,0.24214417,0.14475618,0.044209696,0.10865749,0.039078824,-0.63906294,-0.67744845,-0.20376332,-0.6866151,-0.14880924,0.568627,-0.14607736,0.14155036,0.16376248,-0.61319685,-0.09286856,0.4293425,-0.061408408,0.41233113,0.66492635,-0.32980216,-0.07975129,-0.31820253,0.5131729,0.42645,-0.15722743,0.053421803,0.7183049,-0.6758544,-0.8354049,-0.34421718,0.7050327,-0.41032183,0.21781842,-0.81501085
9cfe843a-98ed-4e4c-ba95-19522993da0e,7,6,1665.5586560315646,1397.7678941579506,277.5931093385941,199.6811277368501,0.8571428571428571,13,381.81659019698566,92.13391208535968,112.44075678075562,0.0009400370450012693,0.003970775898313064,0.22993675281256984,0.006319355895479966,0.02564102564102564,2,0.52382934,0.22615252,0.013139464,0.2578565,-0.22263978,-0.24424595,-0.01664037,0.13806573,0.24405733,0.6396927,0.99169123,0.05925969,-0.91379464,-0.086819746,0.72793657,0.4652722,0.46208853,-0.10039482,0.3852125,0.9712857,0.27498114,-0.62541676,-0.2335834,-0.79224646,0.15143536,0.3881499,-0.7547552,0.23190443,0.08784369,-0.5255768,0.0514025,-0.40924636,-0.25351733,-0.035518475,-0.3583802,-0.07030626,-0.14636652,-0.4474493,-0.6677918,0.73338383,-0.9142973,0.27357873,-0.9589082,-0.5428734,0.09394865,0.23370315,-0.5880384,0.12007617,0.28182358,-0.50520986,0.18938506,-0.42020175,-0.49373388,-0.62617856,0.24010178,0.35510218,0.29204682,-0.6736968,-0.444541,-0.6040451,0.09165792,-0.74839664,0.087159924,-0.11465795
8c5b64b0-8c0f-4cbf-9de7-e86a27a61646,5,7,2255.014634376401,810.4819177220043,322.14494776805725,162.09638354440085,1.4,12,499.1920168018348,113.94593826018,157.57002466933963,0.0007012060768909866,0.0035084691909666186,0.23799203891013507,0.011786861596351117,0.030303030303030304,2,-0.20634831,-0.7441426,-0.022195024,-0.36089528,0.44391784,-0.17852128,-0.08034272,0.23858818,-0.08295666,-0.15744907,-0.094501756,0.21749422,-0.07967136,-0.07342196,-0.22446585,0.47919917,0.094626054,-0.22405615,-0.9804786,0.40474123,0.7815965,0.31144848,0.123329744,-0.6946186,0.93882585,0.7037124,-0.5222247,0.4859002,-0.23984106,0.11334128,0.59886515,0.69889414,0.5856554,-0.33624375,-0.91360825,-0.5215548,0.68453187,0.46403375,0.052065287,0.4613456,-0.13333172,0.25830197,-0.8114383,0.14833088,0.6049005,0.5201647,0.37140593,0.61216545,0.32722914,-0.027434608,0.0041559404,0.79757684,0.08834791,0.82074875,0.7263146,0.38274693,0.2409643,-0.6289008,0.49133563,0.034020234,-0.2160615,0.0021781349,1.0084494,-0.384853
b512b46e-6831-4281-bd6f-60e60b48ed91,6,8,1447.1884119535123,1622.1326983378262,180.89855149418904,270.35544972297106,1.3333333333333333,14,334.23450413563273,28.182439515439075,113.45534023243759,0.0011307021920683512,0.005178796488061124,0.24292208361258916,0.0066813372917462425,0.01098901098901099,1,-0.048567705,-0.006845826,0.07750854,-0.03771652,-0.30012125,-0.1562184,0.18430112,0.18085063,-0.7535302,-0.17432384,0.061214007,0.10532849,0.7091083,-0.09517849,0.031977847,-0.40229532,-0.6765757,0.098831005,-0.31284127,0.9017217,0.4316783,0.6300252,0.06836387,-0.56520075,-0.6431221,0.6246596,-0.39359453,0.33045435,-0.36011672,0.2797532,-0.110992305,0.61842114,-0.1812942,0.18362725,-0.47941628,-0.3796194,0.3149718,0.0135151185,-0.6118102,0.36217013,-1.196649,0.14529409,-0.17405725,0.044812776,-0.16970347,-0.034925867,0.14544345,0.8972998,0.26315087,0.035543542,0.02816091,0.11020382,-0.00299811,0.6815553,-0.03493626,0.41880852,0.51926744,-0.7100696,0.16545327,0.4739807,-0.79417884,0.6350606,0.3829813,0.13623911
9585ea5b-da04-4e6f-9f18-3dc28effce19,19,19,23327.70465258556,21327.174139777297,1227.7739290834504,1122.482849461963,1.0,38,1984.2610382143523,341.0338767313679,506.6541511602778,0.002009374649598452,0.003372110150341027,0.26380531576032384,0.11981319652465862,0.38461538461538464,35,0.22870792,-0.023592899,0.7728178,-0.16600607,0.32521105,-0.6351567,0.39244056,-0.29457524,-0.81904763,0.46151358,0.5146062,-0.6179883,-0.21952036,0.28200442,0.043671194,0.17323293,0.21465741,0.03864051,0.25523815,0.74074835,0.3298491,0.28607246,0.2993596,-0.3273589,-0.08369203,-0.2749532,-0.353056,0.79922855,0.16061197,-0.10656902,0.84738535,0.49259865,0.33050343,-0.6379661,-0.4634591,-0.5477226,0.29990318,0.3439018,0.36572525,-0.57909983,-0.024178585,-0.011532542,0.2359193,0.08064185,0.43698087,1.0020425,0.072244845,0.20315845,-0.12000141,-0.31544957,0.005056144,0.20825952,0.2978606,0.2837958,0.019588912,0.06364254,-0.07533233,-0.100285225,-0.7288523,-0.31774405,-0.69680524,-0.36902255,0.16590418,0.49594104
5ee54891-659b-4a33-b994-a413af4ca7b5,21,16,16339.06763567563,20756.802080142654,1021.1917272297269,988.4191466734597,0.7619047619047619,37,1870.262727380859,50.66108336633257,607.0540968023896,0.002533085939862314,0.008767192516657295,0.26928623538793034,0.13020661257116964,0.2046783625730994,35,0.01602429,0.22923993,0.040621553,-0.13575822,0.5199672,-0.6514009,0.5197538,-0.2518407,-0.8244937,-0.15684268,0.35061997,-0.40757173,-0.14674571,0.10257538,-0.20190132,0.72031105,0.107341476,0.15334061,0.03424078,1.0083032,0.46855325,0.2669787,0.35457575,-0.31918246,0.12954809,0.22845753,-0.22963217,0.68864924,0.1593668,-0.09030609,0.30934596,0.6957514,-0.19690509,-0.7193863,-0.52651113,-0.44597387,-0.19005373,0.5640112,0.0016332101,-0.04374351,-0.01413079,0.21635635,0.8772808,0.35217375,0.20019147,0.617597,0.19643652,-0.10212111,0.07447402,-0.4166261,-0.11936244,-0.06556071,0.16421096,0.15303324,-0.10308741,-0.23840696,0.1591052,0.3944389,-0.37325886,-0.4632688,-0.6244838,-0.4147285,-0.2352558,0.38951144
a3357e46-7f3a-4a5c-a57c-92ac8ee5b101,5,7,1754.6026629181804,1023.2081515998267,250.65752327402578,204.64163031996534,1.4,12,400.5320572930414,111.5743109233332,114.1960303226828,0.0006409750528047105,0.0032275371534887277,0.22474310952522222,0.006801043440548367,0.0,0,0.17360847,-0.60745037,0.17539713,0.005102092,-0.13628304,0.016902415,1.2897847,-0.50867724,0.075464055,-0.12729381,0.19122253,0.08602532,0.11294378,0.17706667,0.018594604,0.519642,-0.6842145,-1.2274455,-0.084724,1.1289937,0.11771885,0.7784553,-0.5413078,0.108764715,0.33241692,0.54081565,-1.0730096,0.76398027,0.5603657,-0.38949347,-0.06657397,0.0021022053,0.19284812,0.04700629,-0.19878234,0.106798925,-0.6748848,-0.4436034,0.45701253,-0.039364886,-0.09745796,-0.007265421,-0.21426459,0.1389042,0.26854482,-0.45299605,0.51368797,-0.6838531,-1.0501107,0.19407843,0.02640147,0.21187568,0.12748942,0.058078196,0.16716987,-0.54626226,-0.12088511,-0.63493854,0.13730653,0.2698097,0.4390069,0.71534264,0.18790129,0.3167081
a9926c29-4f56-45b4-98fa-d3561cd73fd1,4,2,648.5180601601412,1031.8773783520808,324.2590300800706,257.9693445880202,0.5,6,351.91531096232814,296.60274919781307,27.656280882257533,0.0005305120381998208,0.0009605992736880357,0.21386214699284609,0.0029663958180795587,0.0,0,0.074287884,0.12811808,0.13446079,0.06174347,0.41577294,0.055389054,0.49407774,-0.5694243,-0.5602863,-0.097838745,0.6451442,-0.5769903,0.40873298,0.25277004,-0.079403035,0.4883296,-1.5676668,-0.32528844,-0.034699205,1.0681161,-0.089566775,0.14724666,-0.5426471,0.078238875,-0.10440518,-0.31902707,0.04153281,0.5265071,-0.04706167,-0.2726008,-0.59936243,-0.32323292,-0.34917712,-0.28235212,-0.8255883,0.123049036,-0.49530748,-0.4765953,-0.28539407,0.26063833,-0.6686195,0.15862252,-0.86999196,-0.15133996,0.16165835,0.012583438,-0.4655528,-0.15471429,0.03085642,0.75629824,0.26358148,0.80064064,0.17695324,0.27360177,-0.14502844,-0.28285754,-0.13067123,-1.2518988,-0.23088138,-0.012718004,0.053009637,0.44319978,0.18705447,-0.76187325
bcaa0af5-26b5-40e5-8315-70eb0fec7644,8,4,667.8584741061496,2177.1093765718524,166.9646185265374,272.13867207148155,0.5,12,289.35735694153755,29.119295643980163,100.66995797598692,0.001405408754542702,0.003490182053324902,0.2606639452365835,0.017696125529546265,0.030303030303030304,2,0.35322315,0.49969223,0.56696707,0.100347005,-0.54712737,-0.45885384,0.0872279,-0.7690458,-0.18623306,-0.17999646,-0.13779724,-0.47237566,-0.12289369,-0.11444753,-0.47501585,0.2449224,-0.5219048,-0.6081141,0.06990969,0.54538417,0.18961318,-0.28102437,-0.15319254,-0.191005,-0.63884264,0.12761198,-0.28910905,0.22928436,0.16374692,0.24743176,0.06440063,0.19103359,-0.47884837,-0.048288066,-0.013167451,-0.7510032,-0.55292654,-0.5359892,0.01869245,0.09474266,-0.5963214,0.25235784,-0.2712352,0.13840412,0.14129944,-0.082254015,0.041370388,0.069018506,0.019721454,0.71108776,-0.68973285,-0.4704242,0.3365566,1.1402473,0.26659796,0.4427451,-0.27980894,-0.65348506,-0.13774925,0.8643606,-0.8779446,0.33718008,1.2618221,0.1273685
f1f57f12-3be3-4776-a880-9fe82d3a9416,4,3,731.6292637872423,769.2310024344368,243.87642126241408,192.3077506086092,0.75,7,310.65461499790325,170.88434855037443,57.22989349780243,0.0009897488493628523,0.001782679354767501,0.23144949460738934,0.006429834364724313,0.047619047619047616,1,0.6225366,0.97944856,-0.009581237,-0.3425555,-0.229262,-0.45023137,0.36005962,-0.9951565,0.19809549,-0.5587216,0.07268906,-0.7642972,-0.36122066,-0.18998058,-0.31509763,0.6833819,-0.07606846,0.2092953,0.24402808,0.52482,-0.35515556,0.81968,-0.084290296,-0.102732055,-0.4744782,0.16933067,-1.0064998,0.13018784,0.8472289,0.06626135,-0.0567412,0.1823362,-0.40838864,-0.16002016,-0.013004909,-1.1977922,-0.35653186,-0.09851409,-0.037069798,-0.18037952,-0.22850326,0.22190891,-0.66347176,-0.28736302,0.45755294,-0.36993107,-0.10652527,0.7865888,-0.093949474,-0.15733702,-0.17798083,-0.31932268,0.13301039,0.9189534,0.33641246,-0.5459101,-0.13783145,-0.610629,-0.29285443,0.153637,-0.65616924,0.3039112,0.8397309,0.054901853
